pH,COD_mgL,BOD_mgL,TDS_mgL,Water_Consumption_Ratio,Groundwater_Depth_m,Rainfall_mm
7.21,36538.1,18402.7,1792.9,10.89,12.25,10.6
7.49,28542.2,24226.0,2930.9,11.66,12.96,10.4
8.06,33563.7,24566.5,2945.4,11.41,12.36,19.6
7.9,31338.4,14203.4,2335.2,11.74,15.57,24.3
6.39,37300.1,24870.7,1710.1,10.07,17.02,28.5
7.59,39049.7,16673.4,1940.4,11.24,16.48,31.7
8.03,35226.8,18519.7,2697.4,10.6,15.62,29.9
7.98,31759.9,16882.6,1641.0,10.31,10.29,21.6
7.29,30730.8,19680.8,1545.8,8.15,16.58,19.0
6.45,35444.9,22009.9,1823.7,10.49,10.68,11.3
7.26,35812.7,20286.6,2589.1,11.9,14.13,18.1
7.79,30416.6,17706.6,1617.7,8.1,17.7,30.9
7.59,33179.1,14252.8,1734.7,9.0,14.39,27.9
7.52,30598.7,24413.2,2606.8,10.22,14.89,20.5
6.7,32119.5,21852.0,1521.6,8.46,10.37,11.0
7.91,39073.2,18164.3,1646.8,9.97,13.79,14.3
7.07,32970.1,20006.1,2452.6,8.18,13.0,25.6
7.21,42129.8,20563.0,1744.4,8.28,15.14,10.7
7.37,43804.6,19481.2,2082.3,10.57,13.67,23.6
8.08,32722.1,24495.5,2858.0,8.78,10.55,12.5
6.24,26888.9,20879.1,1606.8,9.28,16.76,10.6
7.83,30637.1,13536.1,2545.1,10.52,17.02,28.4
7.81,30640.7,14306.7,2625.9,11.23,17.92,20.3
6.94,40528.3,16430.4,2896.1,11.43,13.43,28.8
7.71,27062.5,23733.2,2257.9,11.31,12.56,32.4
6.98,25216.8,23770.0,1636.9,9.28,17.6,33.8
7.35,37636.7,17829.8,1939.8,9.31,15.38,28.8
5.19,106546.5,59227.4,5790.6,13.36,30.84,8.2
5.06,98075.5,48546.5,3732.6,13.55,30.41,1.1
5.23,85666.3,36996.8,4837.0,18.61,32.56,3.6
9.51,78813.0,32505.0,5287.4,16.63,27.09,13.6
4.17,80260.1,47144.2,5204.2,17.99,31.87,11.2
5.02,78743.5,38571.4,5497.8,14.45,33.56,0.2
5.45,62170.0,57739.3,5614.0,14.64,30.34,1.1
4.25,82727.1,48826.7,4843.9,18.86,22.55,4.2
9.87,65337.8,40069.8,3890.3,17.2,26.66,3.4
9.23,109310.5,50944.9,4733.0,15.01,31.77,10.3
4.24,107026.6,42499.2,4836.7,18.97,22.99,13.1
9.0,78823.2,54316.6,5770.7,13.98,29.13,5.7
5.45,63175.6,31104.7,3807.9,13.09,22.9,10.4
4.8,87771.6,53069.6,5673.0,18.52,24.97,6.8
4.19,70361.4,56346.6,5241.1,13.3,25.22,0.3
4.75,86008.2,55565.4,4769.4,16.65,32.52,6.1
4.2,99233.4,49180.8,5351.6,18.87,29.41,14.7
4.91,81873.7,57124.8,4301.0,16.34,31.4,5.9
4.93,99823.6,43780.4,5436.8,18.0,22.79,0.7
9.22,91670.0,37204.4,3674.5,13.84,23.54,2.3
9.57,94825.1,42349.8,5510.9,16.35,33.68,9.0
9.79,73929.5,35310.3,3704.0,13.78,27.53,3.1
4.55,76079.1,32768.7,4606.6,17.47,28.14,2.4
8.8,100310.1,52447.8,3924.4,14.36,26.45,7.3
9.24,96025.8,31870.2,3839.8,13.87,30.25,12.7
8.84,82370.6,45978.5,4057.7,14.75,26.53,0.3
9.05,86766.8,36996.5,4288.7,16.08,26.26,9.7
9.5,89342.1,52363.2,4492.8,13.83,25.41,5.4
9.48,84912.4,39910.5,5647.5,13.05,24.7,5.5
9.82,74254.8,35201.2,5562.6,13.52,28.29,6.2
8.93,88799.9,57521.9,3512.2,19.34,27.89,10.8
5.23,88580.6,38399.4,5269.8,14.22,25.88,6.4
4.76,95361.5,53033.4,3700.8,16.29,33.18,4.8
9.24,66720.7,31901.2,5776.9,15.1,31.72,3.8
5.02,83658.3,48183.1,5326.9,13.69,32.21,11.2
4.61,106917.0,35437.0,3652.9,17.82,28.89,12.6
9.75,99976.9,54754.0,3928.7,14.53,29.61,13.6
9.51,100830.0,43174.0,4367.0,16.01,25.62,11.2
4.75,79574.1,45955.7,3653.2,14.49,28.51,6.5
9.68,66963.6,53820.8,4926.2,16.47,32.73,11.8
